player_name,player_id,date,status,reason,value,source_file
Asjha Jones,235,2012-09-12,unavailable,injury,ACHILLES,player_box_2012.parquet
Candice Dupree,689,2012-09-12,unavailable,injury,LEFT KNEE SURGERY,player_box_2012.parquet
Diana Taurasi,585,2012-09-12,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Katelan  Redmon,1078,2012-09-12,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Penny Taylor,388,2012-09-12,unavailable,injury,TORN LEFT ACL,player_box_2012.parquet
Samantha Prahalis,1084,2012-09-12,unavailable,injury,RIGHT SHOULDER,player_box_2012.parquet
Sue Bird,91,2012-09-12,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Tangela  Smith,369,2012-09-12,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Tanisha Wright,618,2012-09-12,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Tina Charles,918,2012-09-12,unavailable,injury,LEFT GROIN STRAIN,player_box_2012.parquet
Tully  Bevilaqua,89,2012-09-12,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
April Sykes,1067,2012-09-13,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Nicky Anosike,774,2012-09-13,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Sylvia Fowles,766,2012-09-13,unavailable,injury,LEG INJURY,player_box_2012.parquet
Ticha  Penicheiro,321,2012-09-13,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
April Sykes,1067,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Asjha Jones,235,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Candice Dupree,689,2012-09-14,unavailable,injury,LEFT KNEE SURGERY,player_box_2012.parquet
DeWanna Bonner,869,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Diana Taurasi,585,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Erin Thorn,510,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Jessica  Adair,868,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
Jessica  Moore,646,2012-09-14,not_chosen,coach_decision,COACH'S DECISION,player_box_2012.parquet
